DMX ID,Light ID,Dome Theta,Dome Phi,Dome X,Dome Y,Dome Z,Pixel U,Pixel V
0,35,1.2458,0.0856333,0.944181,0.319301,0.0810515,0.513629,0.396552
4,175,2.07479,3.39385,-0.847947,-0.482929,-0.218555,0.0401478,0.660427
0,155,0.361061,5.85299,0.321078,0.935523,-0.147331,0.431532,0.114929
3,175,2.07671,4.04236,-0.543212,-0.484611,-0.685618,0.143362,0.661039
8,115,2.73295,0.901534,0.246528,-0.917661,0.311645,0.643484,0.869925
7,155,0.434535,1.73118,-0.0672311,0.907066,0.415585,0.775526,0.138317
7,140,1.29573,1.70978,-0.133327,0.271615,0.953126,0.77212,0.412442
8,100,0.631982,1.11101,0.262149,0.806858,0.529394,0.676822,0.201166
3,160,2.89209,4.14769,-0.132143,-0.969035,-0.208589,0.160126,0.92058
0,140,1.26902,6.02371,0.922846,0.297219,-0.244981,0.458703,0.403941
4,160,2.78114,3.32422,-0.346831,-0.935738,-0.0640535,0.0290656,0.885265
0,20,2.28674,0.0773642,0.752219,-0.656328,0.0583112,0.512313,0.727891
6,190,1.08559,2.16022,-0.491722,0.466387,0.735318,0.84381,0.345556
7,20,2.1828,1.92576,-0.284472,-0.574505,0.767476,0.806494,0.694805
1,190,1.02355,5.27025,0.452065,0.520337,-0.724491,0.338786,0.325806
1,180,1.71925,5.28662,0.537216,-0.147904,-0.830375,0.341392,0.547253
8,70,2.55328,1.06964,0.266627,-0.831876,0.486716,0.670238,0.812733
3,10,2.70142,4.44311,-0.113356,-0.90468,-0.410736,0.207143,0.85989
7,30,1.54038,2.04204,-0.453781,0.0304139,0.890594,0.825,0.490317
6,180,1.70544,2.16982,-0.558733,-0.134233,0.818413,0.845337,0.542857
4,10,2.78816,3.84525,-0.263909,-0.938191,-0.22394,0.11199,0.8875
0,30,1.49813,0.0897603,0.993346,0.0725987,0.0894033,0.514286,0.476871
4,170,2.43037,3.45388,-0.621187,-0.757565,-0.200553,0.0497024,0.773611
0,150,0.625754,6.01775,0.565197,0.810522,-0.153647,0.457755,0.199184
3,170,2.25509,3.9615,-0.528683,-0.632129,-0.566487,0.130492,0.717819
7,150,0.658521,1.67919,-0.0661986,0.790898,0.608356,0.767251,0.209614
7,145,0.989379,1.777,-0.171104,0.549209,0.817981,0.782819,0.314929
2,200,0.33988,4.54389,-0.0559068,0.942795,-0.328653,0.223183,0.108187
3,165,2.53299,3.90591,-0.412697,-0.82045,-0.395655,0.121645,0.806277
8,105,0.269598,1.4995,0.0189738,0.963878,0.265667,0.738652,0.0858156
